processed_tweet,final_class,tweetid
i’m fairly certain that all my headaches are connected to my nasal issue which my doctor has basically said there’s… ,0,43
  Accurate; from my time around sheep. Just constantly looking for the shortest path to death.,0,44
one day please just one day without a headache.,1,45
Imagine that post-nut shame after jerking your d with your own diarrhea. Jesus christ. ymhlive,0,46
Covid update: tested positive 3 weeks ago today. Still no taste or smell. Still coughing. Head is still congested.… ,1,47
 I’ll send some of the cold for sure! Currently-54F with windchills here,0,48
i still wouldn’t change being stuck with u  <U+0001F90D> stuckwithu   _Projects ,0,49
8$ AWP Fever Dream giveaway  <U+2705> retweet+like <U+2705> follow me   <U+2705> like my new video and subscribe! (Proof)  <U+23F0>Rolling i…,0,50
i’d sell my kidney to be in the next video stg,0,51
 Facough; little man. Your time will never come...,0,52
 This made me cough and laugh and now I have diet pepsi in my nose. Thanks for that.,0,53
Me: I will be productive today! My body: How about a headache that lasts for the next 10 hours?,0,54
Mild symptoms including 1 or more of the following: Fever Cough Headache Muscle or joint pain Sore throat Chills Runny nose…,0,55
Why do I have a headache?                       I’m probably craving meat <U+0001F602><U+0001F602>.            Wth <U+0001F602>,0,56
 The vaccine side effects kicked my butt today but it was worth every queasy; feverish moment. ,0,57
  Makes me just giddy to finally get into those -40 and colder windchills,0,58
 Everytime I see the term 'influencer'.....I throw up in my mouth a little!!  Egomaniacs,0,59
 What verbal vomit magic is this?!,0,60
Let me show you what the roads are like this morning in NE MT. Slow down; increase following distance; and wear your sea…,0,61
"And Dylan has succumbed officially to the illness that had run rampant through the house this past week <U+0001F628>fever last night, but good all day until just now. <U+0001F92E> :( this stomach flu can kindly eff off and leave my family alone",1,62
Read a news article today saying “Canada Will Be Hit With Life-Threatening -70°C Wind Chills This Month” and then w… ,0,63
Time to stop letting the insomnia half-heartedly wrestle the fatigue; and wander off to bed to do proper battle instead.…,0,64
Passengers with fever must wait for COVID-19 test result before flying ,0,65
_elenko Glad to hear you're on the mend. :) I had a headache and some mental fog the day I got it; and the expect… ,0,66
This song started playing and I got full on body chills. That’s rarely happens. Geez  ,0,67
 *cough* ,0,68
_Q Yho that feels like a curse. I once dated one too and when he pulled off the skin i wanted to vomit;… ,0,69
Last month I started a new job; in a new city which should have been a exciting and happy time. Unfortunately; the past few…,0,70
 Will not do so! Vomit away! <U+0001FA9B> <----- Imagine this to be the sonic kind of screwdriver,0,71
I’m so thankful to have friends and family who don’t mind talking about my issues. While it’s hard to do this publicly maybe…,0,72
this nausea never gonna end,1,73
I love the VHS cover for Robocop2  ,0,74
 And why wouldn't we include them; they've infectable cells like the rest of us; cough and speak like the rest of us...,0,75
  Worse. They cough etc worse than the rest of us. <U+0001F923> CoverYourCough NotLikeThat,0,76
dua lipa coughs on him and it’s over ,0,77
I'm not pandemic eating after midnight; I'm just making sure I haven't lost my sense of taste.,0,78
I almost vomited watching this <U+0001F92E> sick Minneapolis ,0,79
so i got a headache all day; took medicine but it's still there.... a side effect of being yuchan's horcrux??<U+0001F928>,0,80
<U+0001F608> COINS GIVEAWAY<U+0001F608>  100.000 coins to 1 winner!  To enter:  <U+0001F525> Like <U+0001F525> Retweet <U+0001F525> Follow us  Ends in 24h,0,81
Day 2 of self isolation - exhausted; fever is a bit worse but not out of control; painful body aches; cough is wors… ,1,82
  _JR2  Took me 16 minutes to read it and all I got out of it was a headache.,0,83
If you are NOT exhibiting symptoms of COVID-19 (fever; cough; shortness of breath) you do NOT need to be tested. Protect yo…,0,84
 Watch the one with Don Wittman's call.  I just youtubed it..  chills,0,85
Inspection thwarts invasive mussels trying to hitch ride into Sask.  ,0,86
'Thats how it starts. The fever; the rage.....The feeling of..powerlessness; that turns good men....cruel' -Jeremy… ,0,87
_the_girl  opening our eyes to managing workplace fatigue in Canada and has awaken are interest in this topic.  fatique Saskatchewan Safety Council   ilovesafety  pozniaksafety  ,0,88
TheHauntingOfHillHouse NetflixandChillsParty Arthur and Nellie <U+0001F622><U+0001F62D>. Episode five guts me every single time I watch it. ,0,89
RT _dave: So while I’ve not had telltale cough/fever;been suffering with fatigue/headaches for a week & joined fellow NHS workers…,0,90
1DOnlineConcertStayAtHome medecine and stockholm syndrome thank u,0,91
  Sorry *cough cough <U+0001F637>,0,92
So while I’ve not had telltale cough/fever;been suffering with fatigue/headaches for a week & joined fellow NHS wor… ,1,93
Favorited 'Cabin Fever (2020)'  by StreetVybz,0,94
1DOnlineConcertStayAtHome AND HAVE A CELEBRATION A CELEBRATION,0,95
This is the longest 18.5 hours of the Raps game,0,96
_21 My headache and I agree with you!!!,0,97
I wonder if Trump will get Coronavirus?   Please tell me he has a fever. Please TV. <U+0001F973><U+0001F912><U+2620><U+FE0F><U+0001F64C><U+0001F973>,0,98
1DOnlineConcertStayAtHome ILOVE YOU I LOVE YOU I LOVE I OVE OLIVIA,0,99
hi ! i really want to help everyone get dove’s follow so like & rt if you need help  love u rememberme ,0,100
1DOnlineConcertStayAtHome medicine pls and thank you,0,101
"  Wow even the smell of asparagus makes me nauseous, and apparently it makes your urine smell funny, not ha ha funny either.",0,102
 not impossible but certainly a headache major issue with 6-2 is that there’s enemies that take up entire… ,0,103
If I hear once Kyle Dubas say that he has confidence in this group i will throw up. No playoffs No first round pick No Hope TradeCentre,0,104
Remember the old days when young girls orgasmed when Skippy smiled?   Now they’re older and they’re beginning to vomit.,0,105
 Can't wait to hear that blizzard hair story ad nauseam for the rest of 2020.,0,106
 I mean that's what migraines are anything less is bad headache imo. Unless I've just become semi immune,0,107
BUS ROUTES CANCELLED - SCHOOLS ARE OPEN Due to extreme cold and windchills below -40 this morning; there will be no bus service…,0,108
AWP Fever Dream Giveaway  <U+2705> follow me   <U+2705> retweet+like  Rolling in 5 days<U+0001F525><U+0001F525><U+0001F525> ,0,109
 I can't eat anything until I've had a few bowls <U+0001F4A8><U+0001F4A8> I've had morning nausea for years; and used to ju… ,0,110
Is your day ruined by constant fatigue? Treat yourself to energy-rich nutrients like oranges so you have extra Energy! ,0,111
    The whole thing is pointless. Sick people don’t necessarily have fevers a… ,0,112
  Totally agree!  I think it’s all the talking in a mask!  I have a headache and sore throat at the end of everyday.,0,113
Trump's Covid-19: high fever; drops in oxygen; doctors say - CNN ,0,114
Best keep your distance <U+0001F644>Coughing Trump tells Hannity he's healthy and ready to hold rallies - CNN <U+0001F644> ,0,115
85-75 at HALFTIME?! Is defense in quarantine? NBA,0,116
  I forgot to mention this was last spring when I was *cough*41*cough*...,0,117
RT _Taylor: Tech fatigue! It's a real thing. Expert  helps explain what it is and how to address it productively. tech…,0,118
 I haven’t wondered for years.,0,119
   dude in background: “Spicy; get over; he needs help!” kawhi: hold my champagne.,0,120
 Me=Fibromyalgia =Sore soft bones.                              CFS=Chronic fatigue syndrome =poor nutri… ,0,121
  3D trig is next level,0,122
A bit of Canadiana has surfaced atop Wascana Creek near the Albert Street Bridge. Take a look at Regina's newest outdoor…,0,123
"Alexis Sanchez! and I wish I was even playing. Check their stats and you might literally vomit <U+0001F92E> when you see Hazrad's section. 

Such a poor attacker Hazard is. He can't even best Sanchez in numbers, an some bums would put him up against Neymar ",0,124
 That sent Chills down my spine! It’s not his time <U+0001F64F><U+0001F3FD> he’s a fighter!,0,125
Suck It Up Toronto.. -50 Windchills In Saskatchewan.. Sure Love That Oil & Gas That’s Heating Our Homes..  ,0,126
fuighleach firéid; m.; ferret's milk (a cure for whooping cough)  Any advice on how to milk a ferret? ,0,127
Our paramedics also had a busy week. Some interesting numbers: 31 falls and 90 sick/shortness of breath calls were recor…,0,128
Feeling a Thursday cough coming on... ,0,129
 Poilievere is nauseating.,0,130
  No;  no colds.  Even our school kids;  no colds; no snotty noses;  no coughing.  Amazing.,0,131
 I guess Trump forgot to tell his worshipers that they would be committing a heinous crime if they f… ,0,132
" Other than my massive headache, and missing work for 3 days now <U+0001F62D><U+0001F62D>
I am good. Sitting on the couch with my 2 furry babies. 
And I found some new sugar cookie recipes I want to try.",1,133
having one of those weeks where i'm having a difficult time existing because of fatigue,0,134
_bellMB Unlike some MLAs (cough  cough) you can see that I am at least IN this photo. IN my hou… ,0,135
Ringing in the New Year with the  tangerinefanangle ,0,136
 I had asthma growing up...as well as whooping cough. Horrible combination!,0,137
New Year; old bong. Figured I would bust out the HBG for the day today; Hoss bowl packed with homegrown StrawberryCough…,0,138
 No I'm a freelancer,0,139
2020 can *%\!?; off ,0,140
Whenever something that's not my back hurts now; I get like really annoyed. Like I have a headache and I'm just angry at my brain XD,0,141
_paul Took the words errr... Vomit right out of my mouth,0,142
 And the headaches. Wow! <U+0001F915>,0,143
younger me smart as fuck for this one ,0,144
 _jen I didn't see any poisonous spiders when I was in Australia. Saw spiders but mostly h… ,0,145
stop praising white peoples for caring about the POC community. it isn’t something that should be awarded. it should be a…,0,146
When is the  going to cancel the previously scheduled regular season games?! Right now; because they’re all “po… ,0,147
I think I'm gonna throw up. I struggle to hold on to my home while my own government uses my taxes to swoop in like… ,0,148
   Sometimes lol . Gives me a headache .,0,149
Thinking about going to work tomorrow is nauseating. ,0,150
 I thought fever was a symptom; and it ain't hot,0,151
 She:  1) Called the ship ugly 2) Used a vomit face to describe it.  That's hateful. I actually was foll… ,0,152
 Chills went down my spine when I saw him. <U+0001F631>,0,153
 shut the front door Doc!,0,154
_Sports James Harden won’t be in the Hall of Fame.,0,155
the pain was real. the headache; the heartache; and even the way i prayed to think and feel nothing at all.,0,156
 Sorry; that was an oeuful pun. I’ll see myshellf out.,0,157
  Aches and pains is normal when your body is having an immune response (think of body aches when you get sick). Sign that it is working.,0,158
 from what i understand the covid loss of smell is due to neurological interactions not physical effects with the virus so... you very well may have it. zinc hcq and vitamin d also others has experienced emotional control issues so that's another thing to watch out for,0,159
 When I caught it it hit my lungs; heart; ear; muscles; gut; headaches; my hair fell out in big clum… ,1,160
 Cat scratch fever.,0,161
the pain was real. the headache; the heartache; and even the way i prayed to think and feel nothing at all.,0,162
 flambeegs,0,163
 Like my disdain for popcorn; those are feelings I cannot set aside.,0,164
RT _RedJam: Been a few hours but just thought I'd remind you that Ukraine and America voted in favor of Nazism in the UN today.,0,165
 When I caught it it hit my lungs; heart; ear; muscles; gut; headaches; my hair fell out in big clumps;…,1,166
 30% of covid cases noticed a temporary loss of smell but that being said a head cold can cause enough congestion to have a similar effect,0,167
BIG HEADACHE BIG HEADACHE,0,168
Yesterday at the grocery store an older man; determined not to wear a mask; was coughing heavily into a crumpled tissue. People…,1,169
Yesterday at the grocery store an older man; determined not to wear a mask; was coughing heavily into a crumpled ti… ,1,170
"So since he’s not feeling 100% today (and hasn’t had a fever at all), we’re keeping him home. Called the school, left a message to that effect (we did the COVID assessment and it recommended self-isolation, but not for how long). 

School called back...",1,171
If you want a great breakfast or fish & chips in Saskatoon; Churchills British Cafe on Idylwild is the place <U+0001F1EC><U+0001F1E7><U+0001F1EC><U+0001F1E7><U+0001F1EC><U+0001F1E7>,0,172
 Hey Rocco - fa cough k?,0,173
Grade one learning about the sense of smell!!   grade1.   senseofsmell.  thefivesenses     smellyspider. ,0,174
Types of Coughs <U+0644><U+0633><U+062A>_<U+0648><U+062D><U+062F><U+0643>   ,0,175
Reba Mcintyre  was introducing another act she coughed in her hand and then put it back on to the microphone that i… ,0,176
   I thought you verbal diarrhea was over with?,0,177
One of those accused of planting the bomb that killed DaphneCaruanaGalizia was found guilty of his involvement in a bank…,0,178
WATCH: A Regina family is left with a hefty medical bill after taking their infant to the ER for COVID-19. Wayne Mantyka exp…,0,179
Even better than standing five feet away from the woman in line at the grocery store coughing into her hands - the scent of an ashtray in the air after each hack.,0,180
When she told him she had a headache and he wouldn't listen. ,0,181
Self isolating after feeling body aches and a bit of a sore throat. Can't get tested though because apparently I do… ,1,182
 If I think someone has expelled respiratory droplets on my lunch because they got too close when coughing; sne… ,0,183
I’ve heard that one of the symptoms of COVID-19 is losing your sense of smell; so I’ve taken to farting as a public service.,0,184
Carbon tax was an 'incentive' to get us to reduce our carbon foot print.  Look around ; it as reduced as yo…,0,185
Pasqua you get some incredible headaches... eyeaches when you don't realize you lenses got splashed ,0,186
“Hello and thank you for calling the coronavirus hotline. If you believe you have the coronavirus; cough once into the pho…,0,187
Loss of smell and pink eye? Also a discussion on fever symptoms and virus reproduction.  '... I am simply saying th… ,0,188
 I can't get through to 811 for testing. Day 3 of calling. My body aches; my throat hurts; I am very sl… ,1,189
Cabinfever really setting in. Four days to go. SelfIsolation.,0,190
 Her tits were so heavy they gave u a headache,0,191
Chills. Every. Time. BlueJays ,0,192
 I don't shut up; I grow up; and when I look at you; I throw up...,0,193
When my daughter yelled in a panic for me to come upstairs because the toilet was smoking... IKnewIHadCabinFeverWhen ,0,194
*coughs*...,0,195
 *vomits in a trash can* y-you monster! *vonmits again* Ugh... pain... *flops on the floor in agony* hhhhhhh,0,196
Angel Mccoughtry might be good,0,197
BREAKING: President Trump is going to Walter Reed Medical Center in Washington after experiencing a low-grade fever… ,0,198
The best part of the Packers schedule is avoiding MetLife,0,199
_J_Games *cough*  *cough*,0,200
 Rye - even a whiff is enough for me to get nauseous,0,201
No matter how hard I try (and believe me I’ve tried!) I can’t get into Radiohead. Who’s your musical kryptonite?,0,202
    Is barr coughing or mining for gold,0,203
   Fa-cough,0,204
  This is not steak. It is hard and does not belong in my sub. Going to vomit. ,0,205
 He looks like he's holding very still so he doesn't cough his brains out.,0,206
Why is Sam Darnold?,0,207
 ~>that tune = chills,0,208
"Yesterday was a day of migraine, nausea, and spasms between my shoulder blades. Oh, and hot flashes which meant I kept taking my temp to make sure I wasn’t feverish. And then I couldn’t sleep because of migraine and hot flashes. <U+0001F975><U+0001F61E> ",0,209
       Will do! The Commissioner joins us at 4:05,0,210
    This made me nauseous <U+0001F643>,0,211
       … ,0,212
have absolutely no sense of smell or taste.  <U+0001F605><U+0001F605>,1,213
That the American “president” retweets (vomits) Breitbart information (bullshit) tells you all you need to know abo… ,0,214
In all honesty; I should’ve known I needed help when I was 14 shoving my fingers down my throat to throw up; SO I D… ,0,215
All 13 Premiers are calling for an immediate injection to the Canada Health Transfer to bring the federal share to 35%…,0,216
   Risking a mild headache and slight cough  ,0,217
"Question: your boss believes they’re immune to COVID because they got sick with a mild cough back in March. 

Do you present them with facts or grab them by the nogginbone and shake really, really hard?

covid19sk",0,218
  OMG! I never thought I'd ve that excited for Monday to arrive <U+0001F62E><U+0001F62E><U+0001F62E>,0,219
This is happening. New tradition. HillHouse NetflixAndChillsParty ,0,220
I forgot how bad Halloween makes my ovaries ache. babyfever,0,221
I grew up listening to legends about the wendigo and other stories with a similar name. parachills ,0,222
 Love to get my mouth and ass on that,0,223
 I have a headache...,0,224
'sorry I don't recognize vegetables; they give me diarrhea“ - ,0,225
Avs are just toying with them don't even have to try hard; yes we're fatigued <U+0001F602>,0,226
 'Is all this pain in the world because God is indifferent now? Does he care? Has he ever?'  *enters feverish coma*,0,227
"Ever since the pandemic started I am more aware of having to cough. 

And let me tell you it is alarming the frequency with which I seem to inhale my own saliva and have to cough.",0,228
 Headaches suck. Feel better *hugs*,0,229
helo i have a fever of 101,1,230
 Bought a new one over the winter because the old one was a headache from new and was finally in a positi… ,0,231
2.3 million children die in India every year.  300;000 of those are from diarrhea.  Perspective; people. ,0,232
 Yes; he's got that fatigued look of 'running' to his driveway and back.,0,233
2.3 million children die in India every year.  300;000 of those are from diarrhea.  Perspective; people. ,0,234
The boys are up 3-0 in the series.. we can sit back if we need to; Mcguire says we're fatigued <U+0001F602> Avs,0,235
 Id be coughing in Koepkas back swing if i was Phils caddy.....but thats just me.........,0,236
 Especially now when fatigue begins to set in don't lose sight of your purpose and the amazing impact your…,0,237
_Fever Now all I can think about is this baby psycho being witch Sam familiar and Dean convince he is evil w… ,0,238
I have a headache NataliePortman,0,239
Seasonal allergies in a time of COVID-19  Many of the symptoms of seasonal allergies and COVID-19 are similar. Cough; heada…,0,240
Ok but honestly nothing gives me full body chills more than live theatre; it’s an experience unlike any other.,0,241
   They want to protest they can find a safe spot to do it. Sitting in the middle o…,0,242
Or People Who Wanna Hate Because Their Life Isn’t Going Anywhere “cough cough” ,0,243
     Congrats. But; this post is about what’s happening in Canada.,0,244
     You can’t legally run someone over; but you would wi… ,0,245
     Pedestrians have a right crossing at a crosswalk. You can’t…,0,246
   They want to protest they can find a safe spot to do it. Sitting in the middl… ,0,247
   How very sad when the uninformed and the unemployable can try to disrupt the… ,0,248
     Pedestrians have a right crossing at a crosswalk. Yo… ,0,249
*Retweet to increase sample size * Do you think Canadian parliament should force a vote of no confidence? PPC <U+0001F341>,0,250
I get chills running thru me when I watch this. Not so much when I hear O Canada. ,0,251
     Different country.,0,252
     You can’t legally run someone over; but you would win a cour…,0,253
ghad I'm about to vomit,0,254
 You need a cough drop,0,255
RT _aa: Wildcats hold on to win 4-2 to finish 5th and melt the Chills hopes of making the playoffs. We will play the Saskatoon Iceha…,0,256
Wildcats hold on to win 4-2 to finish 5th and melt the Chills hopes of making the playoffs. We will play the Saskatoon Icehawks in the first round. BRING ON THE PLAYOFFS! ,0,257
I’ve got springfever. I’m housecleaning. Cupboards and walls. Ottawa needs to be housecleaned too. LPCGarbage,0,258
I'm a little late but  new show ForLifeABC gave me chills just from the plot episode; definitely gonna cont… ,0,259
 Happy Birthday. Hope you have a fantastic day,0,260
" Two on top of the building in green RCMP fatigues(two more out of sight)all with high powered rifles on the crowd.Nobody complained about their safety or the optics of it in Revelstoke, but I guess it’s somehow different when you’re trying to drive home a false narrative cdnpoli ",0,261
  Jägermeister. Its already basically cought syrup.,0,262
 Kawhi showing emotions.,0,263
I can't believe what I'm seeing. People who SHOULD know better coughing and NOT covering their frickin mouths!  You can't go in a grocery store without it happening!  People in Crosby ND have got to be the most ignorant and uneducated people I've ever come across.,1,264
 _foster Glad it's only hayfever if anything!,0,265
 Sick for a day...bad headache and aching all over.,1,266
I’m getting my tattoo tomorrow & I wanna throw up. Or maybe cuz I’m just feeling like shit today.,0,267
 It’s the distance that is giving us a headache sha. How far is your daycare from your house? This one is about 15 minutes.,0,268
"Being Ko'd by a terrible headache/no energy right now. So much so I'm still in bed. Have always been up by 6am last few months but all my limbs are heavy. For once am listening to my body and resting a little longer. Love to All... hoping not an me flair, was diagnosed years ago",0,269
<U+0001F33F> my body feels like it's 100 years old - it hurts to move; see; read; talk <U+0001F33F> I'm nausea <U+0001F33F> It feels like I haven't… ,0,270
 4:1 butter to sprout ratio,0,271
<U+2728>zoom fatigue <U+2728> is a real thing  shoutout to students/teachers having so much screen time in a day. it is mentally… ,0,272
 I've explained to you how a diagnosis of typhoid fever is made accurately. Malaria is caused by a paras… ,0,273
 Julie and Tom are maniacs,0,274
 tomorrow you my experience fatigue; sore joints; fever/chills.  Take both Tylenol and minimum 600mg i… ,0,275
 Totally nauseating and makes me want to <U+0001F92E>. I used to watch but I don’t anymore.,0,276
 Seen. Absolutely; there is a n association between Malaria and typhoid fever; whether as a co-infection… ,0,277
 And this is because the staple test for typhoid fever; also known as Widal test; is not a reliable indi… ,0,278
 Dave Matthews Band makes me throw up a little in my mouth just typing it.,0,279
" Unfortunately, if it lists ""nausea"" as a side effect on a medication label, I get hit with it. Every. single. time. CreakyChats",0,280
  _21 100% I can’t taste a difference at all. Tried it recently and it’s no differe… ,0,281
_coat Glad you retweeted; excellent essay! So much abuse everywhere; it's nauseating.,0,282
K this week long headache can kindly go away.,1,283
Minced meat makes me nauseous.,0,284
Ohh i love waking up with a  Pounding headaches  <U+0001F614>,0,285
So FireTrudeau seems to be trending here.. is it possible that Canadians will finally FireTrudeau ? Does anyone else agree t…,0,286
only streamed 3 and a half hours; had a lot of fun but have a bad headache. thanks so much to  for the 4… ,0,287
Sooooo...  the Nuggets aren’t even an NBA team according to your store? ,0,288
COVID19: If you are experiencing a cough or fever; stay home and call HealthLine 811 for advice. Protect yourself and those aro…,0,289
"As of March 10, 2020, there are no confirmed cases of COVID-19 in SK. All travelers should monitor for fever, cough and difficulty breathing. Call HealthLine 811 if you have symptoms. Visit  for more information.",0,290
As of March 10; 2020; there are no confirmed cases of COVID-19 in SK. All travelers should monitor for fever; cough and difficul…,0,291
It costs $0.00 to be kind to someone today. Choose love. Choose happiness. We will get through this. TogetherMT ,0,292
So listening to Trudeau speak; makes me wanna throw up!! Ah ah ah ah ah ah.... what a waste of air and space!!,0,293
_tamara  It makes me want to vomit thinking about those that have to clean up the mess that this g… ,0,294
_Heroux Everything is Covid; apparently. A cough; Covid. Sniffle in the middle of winter; Covid. Gout; Covid.… ,0,295
Buffy's back! A little wacked out but she just crawled out of her own grave so that's understandable,0,296
 Take care of yourself. Hoping your headache leaves quickly!,0,297
 They venerate a charter that exists only in the fevered confines of their own craniums.,0,298
If you ever see me liking at Wattpad just know I'm looking at Cars 2 fics,0,299
The fact that Spike actually loves Buffy makes me cry! It's so; aaaahhhgg!,0,300
 Looks like guy tries to rip his head off in slomo,0,301
THIS FEELS LIKE A FEVER DREAM,0,302
3 months until I’m 29; and shit is getting freaky.   My baby fever is over the top; I suddenly have a facial cleans… ,0,303
The guy who called me a poser is in my history class now,0,304
  Be careful.  There is a good chance he won't be wearing a mask and will cough into… ,0,305
Auntie life is the best life. babyfever NewProfilePic ,0,306
 Fa cough; k?,0,307
I miss Cordelia,0,308
First Joyce dies; then Buffy dies; fucking Giles leaves and now Buffy's alive again?? I can't take this emotional whiplash,0,309
I'm torn between wanting to cry and throw up. Anxiety really do be that way.,0,310
I just walked in the gym thinking it'd be empty. Nope; there's a bunch of people like up in the seating area thing.… ,0,311
Yakuza 6 is giving me bad baby fever,0,312
Vaccines have changed our world. Diseases like Whooping Cough (Pertussis); Mumps; Diphtheria; & Polio are debilitating; pai…,0,313
"I am feeling depressed, I haven’t been as active as I was last week. Been lying in bed fir 3 days, cough goes down soreness goes up voice almost gone. I am depressed. I feel helpless right now.",1,314
"I also feel physically sick abs have been feeling that way all year. I have had a cough caused by unexplainable post nasal drip. I can’t be properly checked out by a doctor, ot has to be done by phone. I also gave an internal vibration sensation that I have no idea what it is.",0,315
 _hunglo    That horse going Imma throw up soon i swear to god Imma throw up. <U+0001F923><U+0001F923><U+0001F923>,0,316
Whenever I try and kick Oakie back outside after he chills in a stall to cool out; I open the door and he’ll take a… ,0,317
"me with an upset stomach and headache: it must be Covid 

also me: has been living off of coffee and Rice Krispie squares for the past three days, is in the middle of finals and can’t remember the last time I had a drink of water",0,318
 I will risk a day or two dry cough and other cold symptoms over the side effect of death,0,319
Anyone feel like they just live with a perpetual headache these days? Like; this is normal now?,0,320
     All this Folgers talk is giving me a commemorative headache,0,321
Join OKEx South Asia Crypto Club.   Earned 10% daily net income<U+0001F447>  <U+0001F4B0> Free Cryptocurrency Trading Class  <U+0001F4C8> 90% Accurate Trading Sig…,0,322
I love to eat McDonald's poutines even though I know I'm gonna have to throw up a little before finishing the secon… ,0,323
it’s been just over 5 weeks since my initial covid positive. i have still been dealing with difficulty breathing; f… ,1,324
  Anti-fatigue mat? Wearing a 2' heel one day and then a comfortable pair of runners th… ,0,325
 I real life I have a lack of an internal editor. I call it “verbal diarrhea”. It ends up translating to the internet in much the same fashion.,0,326
 Oooof.   I moved to a standing desk today mostly because I’m sick of the headaches from working on a… ,0,327
 I don’t. It just makes me nauseated <U+0001F922> and sleepy. <U+0001F634>,1,328
my fever climbed back up tonight and ive got a migraine from hell. and i just woke up and puked up what little ive been able to eat.,1,329
As of this week I’m pretty much staying home away  from people asking myself if I have it at this point given that the cough has flared up,1,330
Election Twitter is the worst Twitter.,0,331
  Agreed! 'Trump was a threat to the entire world'. His influence seemed to embolden r… ,0,332
I have come to realize that diarrhea of the mouth is a direct result of shit for brains. <U+0001F926><U+200D><U+2640><U+FE0F>,0,333
__vanita pon this one again <U+0001F602>  This early Monday morning headache <U+0001F602> ,0,334
Literally shaking and about to vomit from panic I messed up so bad,0,335
